,Away Red Cards,Away Yellow Cards,Home - Away Red Cards,Home - Away Yellow Cards,Home Red Cards,Home Yellow Cards,Season
0,69.0,916.0,-21.0,-104.0,48.0,812.0,2009/10
1,60.0,824.0,-12.0,-149.0,48.0,675.0,2010/11
2,57.0,864.0,-10.0,-79.0,47.0,785.0,2011/12
3,74.0,944.0,-28.0,-69.0,46.0,875.0,2012/13
4,58.0,906.0,-9.0,-64.0,49.0,842.0,2013/14
5,64.0,962.0,-10.0,-100.0,54.0,862.0,2014/15
6,76.0,983.0,-23.0,-117.0,53.0,866.0,2015/16
7,58.0,884.0,-22.0,-96.0,36.0,788.0,2016/17
8,53.0,822.0,-17.0,-97.0,36.0,725.0,2017/18
9,51.0,955.0,-12.0,-143.0,39.0,812.0,2018/19
