Team,P,W,D,L,GF,GA,GD,PTS,Season
Juventus,38,30,5,3,86,24,'+62,95,2017
Napoli,38,28,7,3,77,29,'+48,91,2017
Roma,38,23,8,7,61,28,'+33,77,2017
Internazionale,38,20,12,6,66,30,'+36,72[a],2017
Lazio,38,21,9,8,89,49,'+40,72[a],2017
Milan,38,18,10,10,56,42,'+14,64,2017
Atalanta,38,16,12,10,57,39,'+18,60,2017
Fiorentina,38,16,9,13,54,46,'+8,57,2017
Torino,38,13,15,10,54,46,'+8,54,2017
Sampdoria,38,16,6,16,56,60,‰öÕ4,54,2017
Sassuolo,38,11,10,17,29,59,‰öÕ30,43,2017
Genoa,38,11,8,19,33,43,‰öÕ10,41,2017
Chievo,38,10,10,18,36,59,‰öÕ23,40[d],2017
Udinese,38,12,4,22,48,63,‰öÕ15,40[d],2017
Bologna,38,11,6,21,40,52,‰öÕ12,39,2017
Cagliari,38,11,6,21,33,61,‰öÕ28,39,2017
SPAL,38,8,14,16,39,59,‰öÕ20,38,2017
Crotone,38,9,8,21,40,66,‰öÕ26,35,2017
Hellas Verona,38,7,4,27,30,78,‰öÕ48,25,2017
Benevento,38,6,3,29,33,84,‰öÕ51,21,2017
Juventus,38,28,6,4,70,30,'+40,90,2018
Napoli,38,24,7,7,74,36,'+38,79,2018
Atalanta,38,20,9,9,77,46,'+31,69,2018
Inter Milan,38,20,9,9,56,32,'+24,69,2018
AC Milan,38,19,11,8,55,36,'+19,68,2018
AS Roma,38,18,12,8,65,47,'+18,66,2018
Torino,38,16,15,7,52,37,'+15,63,2018
Lazio,38,17,8,13,56,46,'+10,59,2018
Sampdoria,38,15,8,15,60,51,'+9,53,2018
Bologna,38,11,11,16,48,56,'-8,44,2018
Sassuolo,38,9,16,13,53,60,'-7,43,2018
Udinese,38,11,10,17,39,53,'-14,43,2018
SPAL,38,11,9,18,44,56,'-12,42,2018
Parma,38,10,11,17,40,60,'-20,41,2018
Cagliari,38,10,11,17,36,54,'-18,41,2018
Fiorentina,38,8,17,13,47,45,'+2,41,2018
Genoa,38,8,14,16,39,57,'-18,38,2018
Empoli,38,10,8,20,50,69,'-19,38,2018
Frosinone,38,5,10,23,29,69,'-40,25,2018
Chievo,38,2,14,22,25,75,'-50,17,2018
Chievo,38,2,14,22,25,75,'-50,17,2018
