Team,Season,W
Juventus,1,29
Napoli,1,25
Roma,1,23
Internazionale,1,20
Fiorentina,1,18
Sassuolo,1,16
Milan,1,15
Lazio,1,15
Chievo,1,13
Empoli,1,12
Genoa,1,13
Torino,1,12
Atalanta,1,11
Bologna,1,11
Sampdoria,1,10
Palermo,1,10
Udinese,1,10
Carpi,1,9
Frosinone,1,8
Hellas Verona,1,5
Juventus,2,29
Roma,2,28
Napoli,2,26
Atalanta,2,21
Lazio,2,21
Milan,2,18
Internazionale,2,19
Fiorentina,2,16
Torino,2,13
Sampdoria,2,12
Cagliari,2,14
Sassuolo,2,13
Udinese,2,12
Chievo,2,12
Bologna,2,11
Genoa,2,9
Crotone,2,9
Empoli,2,8
Palermo,2,6
Pescara,2,3
Juventus,3,30
Napoli,3,28
Roma,3,23
Internazionale,3,20
Lazio,3,21
Milan,3,18
Atalanta,3,16
Fiorentina,3,16
Torino,3,13
Sampdoria,3,16
Sassuolo,3,11
Genoa,3,11
Chievo,3,10
Udinese,3,12
Bologna,3,11
Cagliari,3,11
SPAL,3,8
Crotone,3,9
Hellas Verona,3,7
Benevento,3,6
Juventus,4,28
Napoli,4,24
Atalanta,4,20
Inter Milan,4,20
AC Milan,4,19
AS Roma,4,18
Torino,4,16
Lazio,4,17
Sampdoria,4,15
Bologna,4,11
Sassuolo,4,9
Udinese,4,11
SPAL,4,11
Parma,4,10
Cagliari,4,10
Fiorentina,4,8
Genoa,4,8
Empoli,4,10
Frosinone,4,5
Chievo,4,2
